X,Y,Circonference,Haut,BaseHoup,r_houp1,a_houp1,r_houp2,a_houp2,r_houp3,a_houp3,r_houp4,a_houp4,r_houp5,a_houp5,r_houp6,a_houp6,r_houp7,a_houp7
1410.68,-1410.68,93,19.1,11,220,214,195,357,350,26,210,116,,,,,,
75.44,-364.27,73,18.6,13.7,115,376,230,61,140,161,85,267,,,,,,
1656.77,-1507.55,86,17.2,9.5,290,363,305,44,130,111,60,233,100,21,,,,
-318.92,1426.79,72,15.4,9.2,180,113,370,221,280,303,120,385,,,,,,
798.93,1630.82,108,16.5,9.6,50,195,270,284,240,5,360,61,,,,,,
272.28,-60.86,77,18.7,13.8,140,399,235,104,265,194,190,295,,,,,,
1569.33,429.32,89,19.6,12.7,120,9,160,179,340,260,270,340,,,,,,
-77.77,-1649.17,80,18.9,13.1,10,230,10,356,170,37,320,95,,,,,,
-775.27,-1310.91,94,17.2,9,340,44,380,99,205,205,130,288,,,,,,
862.51,1227.22,71,14.2,8.6,250,152,245,236,125,303,55,391,210,15,120,98,,
-397.58,328.91,67,15.6,8,230,228,230,311,285,26,220,117,,,,,,
524.77,-576.16,78,15.3,9.4,350,240,210,341,240,64,260,142,,,,,,
1976.72,1343.38,43,12.5,5.9,90,45,320,157,240,230,70,325,,,,,,
-1014.59,-1544.57,74,15.8,7.7,265,327,120,396,120,91,210,221,,,,,,
67.03,1421.42,82,14.6,6.1,300,91,260,176,195,305,280,4,,,,,,
1457.42,184.11,69,13.8,8.9,295,346,150,19,80,112,130,232,,,,,,
-1012.4,760.13,27,6.3,1.2,250,228,260,315,250,17,250,100,,,,,,
-859.94,-372.13,70,15.1,7.8,180,221,290,331,370,16,230,112,,,,,,
1013.69,712.43,76,15.7,8.2,300,38,70,141,260,272,230,364,,,,,,
1058.71,626.12,63,13.8,8.8,200,272,290,354,210,28,30,152,,,,,,
418.45,79.82,63,15.1,10.2,160,151,95,226,160,346,250,28,,,,,,
-474.61,489.76,62,13.6,9,220,155,185,241,140,352,80,51,,,,,,
420.13,620.13,44,13.9,9,230,134,220,236,50,326,20,12,,,,,,
-310.6,-634.01,48,13,9,40,141,90,235,140,336,130,30,,,,,,
2244.61,501.73,51,12.2,8.6,200,241,170,338,80,37,70,128,,,,,,
1695.91,671.46,51,15.8,9.8,115,173,130,278,140,374,90,56,,,,,,
-178.81,1891.57,52,14.7,8.2,195,240,150,321,150,19,80,120,,,,,,
-279.41,1963.22,59,16,9.2,240,376,55,73,170,214,165,305,,,,,,
1174.69,55.4,63,16.1,10.5,195,332,190,392,150,63,250,190,,,,,,
796.65,-1347.06,43,15.6,10.2,140,81,165,172,205,226,80,313,,,,,,
-852.12,782.98,27,10.5,7.7,21,40,260,130,270,240,270,259,60,310,,,,
1357.35,1589.25,94,14.7,8.4,310,100,680,160,640,204,490,263,580,309,220,361,280,55
1602.03,-816.28,112,14.4,5.7,90,398,330,68,580,136,500,182,550,276,450,336,,
-1513.32,71.37,45,14.1,9.3,130,209,200,313,150,390,60,95,,,,,,
392.94,-1771.49,51,12.2,8.6,200,241,170,338,80,37,70,128,,,,,,
-608.64,-166.5,76,16.8,9.6,255,201,265,296,340,21,340,112,,,,,,
450.52,-1251.37,52,15.8,8.6,300,138,390,211,260,291,120,361,,,,,,
319,-339.7,82,17.9,10.2,220,191,300,304,240,389,305,98,,,,,,
242.79,537.73,81,16.8,9.2,220,200,190,304,325,6,270,97,,,,,,
-10.37,-1610.31,69,16.6,10.5,135,236,235,334,265,23,190,102,,,,,,
